index,value
24221,204.69859318542257
24222,204.7331285035874
24223,204.7639617543112
24224,204.78864644103135
24225,204.81083524072187
24226,204.8264192971048
24227,204.8501932922133
24228,204.86975976298095
24229,204.9049093180424
24230,204.9459620711464
24231,204.99315448589027
25171,204.98131152495912
25172,204.9622086925137
25173,204.9346643792736
25174,204.89220862939916
25175,204.84790257444843
25176,204.81701544092735
25177,204.7877278207959
25178,204.7587604206304
25179,204.7427127110303
25180,204.7186046636108
25181,204.68312004715784
25182,204.64120416961237
25183,204.59594888823955
25184,204.57049192736736
25185,204.54171551749505
25186,204.5110801076058
25187,204.48086601075485
25188,204.45302732213085
25189,204.45079779787145
25190,204.45590887535144
25191,204.46005467942044
25192,204.46269563673812
25193,204.4558572301466
25194,204.444481741909
25195,204.4205427427946
25196,204.38806689577504
25197,204.3710447180009
25198,204.3456283516825
25199,204.3207976773032
25200,204.30205323327584
25201,204.265907218349
25202,204.2299805228208
25203,204.194680305494
25204,204.1648646246172
25205,204.1458255054844
25206,204.13257095028803
25207,204.12498627060407
25208,204.0958116146745
25209,204.08481417972067
25210,204.066031869952
25211,204.03520296534325
25212,204.02016243749156
25213,204.0009553020992
25214,203.97918977166788
25215,203.95030137267028
25216,203.91943917794003
25217,203.89254135175568
25218,203.87014749562303
25219,203.8405725118251
25220,203.8169730813613
25221,203.79652677083783
25222,203.7779588435804
25223,203.764357743984
25224,203.7424894193384
25225,203.73312994120883
25226,203.73188082739597
25227,203.72904889181905
25228,203.71823394425195
25229,203.6818052764936
25230,203.6463579930387
25231,203.6165181052923
25232,203.59386039554784
25233,203.5812708663428
25234,203.57601446861605
25235,203.55777686761607
25236,203.53348628818247
25237,203.5107579773234
25238,203.49047710860404
25239,203.4629773558886
25240,203.4464186407904
25241,203.43334794697176
25242,203.42800199513545
25243,203.40573387096245
25244,203.38252161470444
25245,203.3714740657157
25246,203.35839230868163
25247,203.34253659223185
25248,203.33011588828387
25249,203.33947831387744
25250,203.34607785548627
25251,203.34464360255637
25252,203.34466403406185
25253,203.3586690690317
25254,203.35746542739145
25255,203.3485269068969
25256,203.3236931648161
25257,203.29164840985985
25258,203.2706052340789
25259,203.261640573149
25260,203.2523666576104
25261,203.2420398467008
25262,203.2382411454407
25263,203.24179453719253
25264,203.2326216601361
25265,203.2182342116899
25266,203.2263821244969
25267,203.24086906067333
25268,203.2553097133901
25269,203.2799399918613
25270,203.28798811921703
25271,203.28299576166305
25272,203.27879067247343
25273,203.27221699760145
25274,203.26888902117005
25275,203.29498912534075
25276,203.3410881497811
25277,203.38851631592436
25278,203.42895254196893
25279,203.4673457269797
25280,203.5014498608347
25281,203.52918222454875
25282,203.56540183993957
25283,203.59794477804863
25284,203.61806058933757
25285,203.6348858131961
25286,203.6548166994928
25287,203.66991886870085
25288,203.67637396501635
25289,203.67990765916463
25290,203.69641703792848
25291,203.7022247552625
25292,203.7180394758196
25293,203.7394005213176
25294,203.76194248237857
25295,203.78062342290795
25296,203.80225577062464
25297,203.81221458801207
25298,203.82188209602504
25299,203.84124970422653
25300,203.84907964216367
25301,203.86333009246508
25302,203.8591052586324
25303,203.8434172234307
25304,203.84707407800283
25305,203.85417489180077
25306,203.8472562014353
25307,203.84672841034487
25308,203.8490277913118
25309,203.87994199370235
25310,203.89906806167025
25311,203.9213869206436
25312,203.9369071149412
25313,203.938441441226
25314,203.9619719585727
25315,203.9971958381753
25316,204.03463831027605
25317,204.06347603240783
25318,204.0840141943679
25319,204.10028680657032
25320,204.1077420688825
25321,204.11559403319333
25322,204.1424565862216
25323,204.18573654183265
25324,204.2408608418212
25325,204.286490733024
25326,204.33111118778533
25327,204.3749901897019
25328,204.41366234342465
25329,204.45845487887195
25330,204.50250683051135
25331,204.54711744619183
25332,204.59255258976472
25333,204.6328600671336
25334,204.66566577001885
25335,204.7006003636693
25336,204.739651946806
25337,204.78173678042543
25338,204.8271744348598
25339,204.86865159728032
25340,204.91222429943525
25341,204.9474309864734
25342,204.98444904100543
25404,204.9831422342242
25405,204.96683362618217
25406,204.9392418467447
25407,204.90871144819133
25408,204.86269644806765
25409,204.8251888499396
25410,204.79611683193008
25411,204.78672537380697
25412,204.7654837039961
25413,204.74048010966965
25414,204.71519648666
25415,204.6951572077587
25416,204.6774443181525
25417,204.66277602387356
