mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
LSTMGRU,r0p5,25,0.07142857142857142,0.0008143322475570033,7.5,2
LSTMGRU,r0p5,30,0.075,0.0008347245409015025,7.5,2
STAConvBiLSTM,r0p5,10,0.5148514851485149,0.013818181818181818,8.16,25
STAConvBiLSTM,r0p5,15,0.5131578947368421,0.011503067484662576,8.25,16
STAConvBiLSTM,r0p5,20,0.5185185185185185,0.011904761904761904,9.0,11
STAConvBiLSTM,r0p5,25,0.5714285714285714,0.010586319218241042,9.666666666666668,9
STAConvBiLSTM,r0p5,30,0.575,0.010851419031719533,10.5,8
TCNTransformer,r0p5,10,0.44554455445544555,0.010181818181818183,7.25,24
TCNTransformer,r0p5,15,0.42105263157894735,0.00843558282208589,7.4,15
TCNTransformer,r0p5,20,0.37037037037037035,0.00873015873015873,7.5,10
TCNTransformer,r0p5,25,0.40476190476190477,0.008957654723127036,8.25,8
TCNTransformer,r0p5,30,0.4,0.009181969949916527,9.0,7
raw,r1p0,10,0.693069306930693,0.020363636363636365,9.321428571428571,28
raw,r1p0,15,0.6447368421052632,0.01763803680981595,9.333333333333334,18
raw,r1p0,20,0.6296296296296297,0.013492063492063493,9.461538461538462,13
raw,r1p0,25,0.6428571428571429,0.010586319218241042,9.600000000000001,10
raw,r1p0,30,0.65,0.01001669449081803,10.333333333333334,9
diff,r1p0,10,0.6732673267326733,0.016727272727272726,9.777777777777777,27
diff,r1p0,15,0.6710526315789473,0.014570552147239263,10.235294117647058,17
diff,r1p0,20,0.6851851851851852,0.011904761904761904,10.75,12
diff,r1p0,25,0.7380952380952381,0.008957654723127036,11.100000000000001,10
diff,r1p0,30,0.75,0.007512520868113523,12.0,9
diff2,r1p0,10,0.7128712871287128,0.07490909090909091,9.857142857142858,28
diff2,r1p0,15,0.7105263157894737,0.07438650306748466,10.333333333333334,18
diff2,r1p0,20,0.7222222222222222,0.07142857142857142,10.846153846153847,13
diff2,r1p0,25,0.7380952380952381,0.07084690553745929,11.399999999999999,10
diff2,r1p0,30,0.75,0.0709515859766277,12.333333333333332,9
union,r1p0,10,0.7920792079207921,0.08072727272727273,10.607142857142858,28
union,r1p0,15,0.7763157894736842,0.07975460122699386,10.833333333333334,18
union,r1p0,20,0.7962962962962963,0.07539682539682539,11.307692307692307,13
union,r1p0,25,0.8333333333333334,0.0741042345276873,12.0,10
union,r1p0,30,0.85,0.07345575959933222,13.0,9
Time-MoE,r1p0,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r1p0,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r1p0,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r1p0,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r1p0,30,0.3,0.001669449081803005,9.0,4
Sundial,r1p0,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r1p0,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r1p0,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r1p0,25,0.21428571428571427,0.0016286644951140066,10.0,3
